No,Date,Month,Ticket number,W/O number,Category,Discirption,Location,Teams,Amount,Released Date,Days Taken,W/O Status,
170,31-Aug-25,,CT-02425,WO/46767,Plumbing,REDACTED,REDACTED,T1 Plumbing,$364.50 ,8-Sep-25,,Closed,
171,1-Sep-25,,IM-1-12543890876,WO/46791,Carpentry FF,REDACTED,REDACTED,T1 Carpentry,$56.00 ,6-Sep-25,,Closed,
172,1-Sep-25,,RFS-1-12547865842,WO/46789,Masonry,REDACTED,REDACTED,T1 Masonry,$400.10 ,8-Sep-25,,Closed,
173,1-Sep-25,,RFS-1-12547865969,WO/46788,Masonry,REDACTED,REDACTED,T1 Masonry,$740.10 ,8-Sep-25,,Closed,
174,1-Sep-25,,RFS-1-12548086011,WO/46786,Masonry,REDACTED,REDACTED,T1 Masonry,$313.10 ,10-Sep-25,,Closed,
175,1-Sep-25,,IM-1-12543759117,WO/46785,Welding & Painting,REDACTED,REDACTED,T1 Painting,$205.00 ,6-Sep-25,,Closed,
176,1-Sep-25,,IM-1-12541699349,WO/46781,Carpentry RF,REDACTED,REDACTED,T1 Carpentry,$76.14 ,6-Sep-25,,Approved,
177,1-Sep-25,,IM-1-12546175449,WO/46778,Plumbing,REDACTED,REDACTED,T1 Plumbing,$279.50 ,6-Sep-25,,Closed,
178,1-Sep-25,,IM-1-12546175376,WO/46776,Plumbing,REDACTED,REDACTED,T1 Plumbing,$327.00 ,6-Sep-25,,Closed,
179,1-Sep-25,,IM-1-12543759133,WO/46777,Carpentry RF,REDACTED,REDACTED,T1 Carpentry,$24.00 ,6-Sep-25,,Approved,
180,1-Sep-25,,RFS-1-12540023918,WO/46775,Welding & Painting,REDACTED,REDACTED,T1 Painting,$650.00 ,7-Sep-25,,Closed,
181,1-Sep-25,,IM-1-12521154089,WO/46285,Masonry,REDACTED,REDACTED,Team 2 ,$128.50 ,,,Closed,
182,1-Sep-25,,IM-1-12532238986,WO/46461,Plumbing,REDACTED,REDACTED,Team 4,$165.25 ,,,Closed,
183,1-Sep-25,,IM-1-12537421334,WO/46803,Carpentry RF,REDACTED,REDACTED,T1 Carpentry,$714.00 ,3-Sep-25,,Approved,
184,1-Sep-25,,IM-1-12537421334,WO/46802,Carpentry RF,REDACTED,REDACTED,T1 Carpentry,$$24.00,6-Sep-25,,Approved,
185,1-Sep-25,,RFS-1-12546602782,WO/46799,Carpentry FF,REDACTED,REDACTED,T1 Carpentry,$110.16 ,,,Rejected,
186,1-Sep-25,,IM-1-12547865943,WO/46790,Welding & Painting,REDACTED,REDACTED,T1 Painting,$487.20 ,6-Sep-25,,Closed,
187,1-Sep-25,,RFS-1-12535009300,WO/46780,Welding & Painting,REDACTED,REDACTED,T1 Painting,"$1,373.40 ",8-Sep-25,,Closed,
188,2-Sep-25,,IM-1-12533567629 ,WO/46820,Plumbing,REDACTED,REDACTED,Team 2 ,$927.50 ,,,Closed,
